DOEID,BA_climate_grp,efficiency_class,NWEIGHT,TOTALDOL,pred_TOTALDOL,top5_annual_savings,savings_share_of_bill
100336,Mixed-Humid,inefficient,5441.5436526,1237.32,1186.1610659748394,183.13280594894857,0.14800763420048862
100340,Cold,average,5805.4793425,959.55,1026.7360507596288,227.26433722118065,0.2368447055611283
100343,Mixed-Humid,average,3004.6463322,1859.71,2068.274850999964,520.311676375948,0.2797810821988095
100351,Cold,inefficient,6690.5659244,860.6,1154.9075174441807,104.2119560674844,0.12109221016440204
100354,Cold,average,5083.1913119,2662.94,2978.538801817944,586.1552589445699,0.22011583398220386
100357,Hot-Humid,efficient,14355.082981,1887.29,3626.0123946994577,463.1549694370094,0.2454074198649966
100371,Hot-Dry,inefficient,9935.5766624,1953.48,2116.453076543046,146.19807784004487,0.0748398129696976
100372,Cold,efficient,4093.0617327,516.16,816.9658086004383,65.75742796733846,0.1273973728443476
100374,Hot-Dry,average,13268.99651,2382.22,2428.1607117096696,436.29668308688855,0.18314709938078289
100389,Cold,efficient,5878.7752689,1103.39,1373.3619756732044,477.58691209777476,0.4328359982397654
100397,Cold,inefficient,9809.6080133,2615.14,1410.005875889439,489.50023703732313,0.187179362113433
100412,Hot-Dry,inefficient,12023.584602,3478.45,2858.431921339414,868.5648349446479,0.24969881267364716
100413,Mixed-Humid,efficient,8056.9335438,1647.19,1971.4478528422824,535.982786835496,0.3253922054137628
100428,Hot-Humid,average,4911.5056031,1835.7,1712.0454872995929,326.24941165195196,0.17772479798003593
100429,Hot-Dry,efficient,9638.5855053,969.51,1788.664457821204,65.45870310382787,0.06751730575633864
100432,Cold,efficient,8661.0661015,1325.45,1659.7354476271896,242.34304118937618,0.18283831241418097
100437,Cold,efficient,5783.0380686,2622.06,2127.345994609089,380.43140018100024,0.145088747084735
100439,Cold,efficient,6406.5820005,1690.76,1977.5953632384867,127.06194122818307,0.07515078498910731
100440,Cold,inefficient,4094.0961751,4053.22,3013.4302009407556,631.061544509582,0.15569387906641682
100445,Cold,efficient,1979.3614795,2213.06,2123.393379304653,407.3674803869076,0.18407430453169257
100447,Hot-Dry,inefficient,10781.026859,2242.73,1375.50104527821,944.161979423304,0.42098780478403736
100452,Cold,average,5433.3948288,2226.51,2780.496929055085,533.6824501916556,0.23969461183271376
100459,Mixed-Humid,efficient,6396.6083535,779.52,1229.7058856361457,105.08892405334814,0.13481235125891336
100467,Cold,efficient,3303.3470101,1117.94,1615.094131439214,311.2260388540251,0.27839243506272704
100469,Mixed-Humid,efficient,8128.9771251,1219.44,1777.5225038429362,351.86766432764153,0.288548566823822
100473,Mixed-Humid,inefficient,2436.1852964,2247.77,2869.55494697917,411.65782492722116,0.1831405459309543
100478,Mixed-Humid,inefficient,7788.6344947,2259.47,1590.4536032293013,360.3034594599859,0.159463705851366
100479,Cold,efficient,2913.2325673,2161.73,2132.455073934216,388.007825355694,0.1794894946897596
100485,Mixed-Humid,average,2855.7842668,983.86,1078.7117733475636,174.69504214311894,0.17756087466013348
100495,Hot-Dry,average,13235.98477,803.9,1119.4122099841256,106.98339012632933,0.13308047036488285
100504,Mixed-Humid,inefficient,7514.8171925,3506.91,2822.7549634838874,721.3045089392309,0.20568092963299056
100506,Cold,efficient,6520.8906505,1923.81,3090.598844421774,830.280333229537,0.43158125450514184
100511,Marine,efficient,6243.9898569,1100.87,1466.5901312754845,207.75934439815927,0.1887228686385852
100513,Mixed-Humid,average,5636.9055332,1323.21,1343.7272858747594,289.25826279698487,0.21860344374436774
100516,Cold,inefficient,2853.4781956,2841.97,3171.207939911299,559.2164900042382,0.19677072242291024
100525,Mixed-Humid,efficient,7037.2968858,1673.24,2691.4572747064367,398.2683657006069,0.23802225962838977
100534,Cold,inefficient,3120.1548904,2413.35,2744.4868319074103,856.784170735561,0.3550186134359132
100541,Mixed-Humid,average,4169.6000547,1206.13,1250.118677853756,217.07830699351115,0.17997919543789734
100549,Hot-Dry,average,9980.0315341,2000.06,1693.1362561194003,487.3656557569755,0.24367551761295939
100551,Hot-Humid,efficient,10416.708713,902.18,1460.6357053102822,58.96169554050985,0.0653546914590324
100566,Marine,average,12515.740387,1334.83,1712.1031887069532,90.63615018778594,0.0679008938874508
100567,Cold,efficient,3732.3745165,3671.29,2911.599916488631,849.3055496877457,0.23133709123707083
100574,Mixed-Humid,efficient,8249.523954,1292.51,2098.661304265239,307.73004984494145,0.23808717135259413
