upgrade_id,n_homes,avg_savings,avg_payback,category,cost_midpoint_usd
wall_insulation,11,85.07178008961749,103.01893706056624,Insulation,3500
high_eff_furnace,35,152.12555948479604,39.03669085380926,HVAC,5000
window_upgrade,45,76.2616542672023,553.6622410803336,Envelope,13000
tankless_water_heater,156,89.12724336191829,41.292540599706,Water Heating,2300
heat_pump_water_heater,221,184.03166317523886,24.20375771533238,Water Heating,2400
air_sealing,257,123.13532677607853,12.810176572901664,Envelope,800
energy_star_washer,365,417.96003424657533,3.1157558197624753,Appliance,950
energy_star_fridge,857,224.4918028004668,9.162768320075658,Appliance,1500
heat_pump_replace,924,301.8144862386739,38.55810363789557,HVAC,8000
attic_insulation,1265,144.85486956786963,27.085761734261954,Insulation,2300
programmable_thermostat,1584,54.21873062163085,4.083490325028638,Behavioral,90
led_lighting,1995,57.964660236376986,8.735611401805286,Lighting,200
smart_thermostat,3213,71.26727665908801,5.837643962570194,Behavioral,200
low_flow_showerheads,3567,22.98700932031093,5.556828393145582,Water Heating,80
thermostat_setback,3658,66.77584555600181,0.0,Behavioral,0
